ORGANISM,frequency
rat striatum,1
HINI,1
right,4
mouse-derived human,1
AAV4,1
human naÃ¯ve,2
Pseudotyped Vesicular Stomatitis Virus,2
SARS-CoV S protein (,4
SARS-CoV S protein-mediated cell,1
VSV pseudotyped,4
human ASA,1
45â64,1
Swine Influenza,3
Rabbit Antisera,1
Human Plasma,1
RSV lysate antigens,1
RSV B1 virus,1
wildlife H R,1
coronavirus (1),2
turkey feces,1
Chicken Tracheal Organ Cultures,2
Chicken tracheal organ cultures,2
chick embryo trachea,3
chicken tracheal organ cultures,4
mouse urine,1
mouse plasma,2
human respiratory syncytial virus type A,1
human coronaviruses 229E/NL63,1
human parainfluenza type 1,1
human rhinovirus type A,1
bocavirus 1,2
SCV-induced SARS-like,1
animal/human,4
human healthâdriven,1
MERS-CoV epitope,1
coronavirus ultrastructure,2
human telomeres,1
coronaviral replicon,1
human respiratory coronaviruses OC43,1
HKU1 strain,1
wild-ruminant coronaviruses,1
feedlot cattle,2
SARS-like viruses,3
Vaccine Effectiveness-Monitoring,1
Human parainfluenza virus type 1â4,1
Human respiratory syncytial virus type A,1
Human coronavirus 229E/NL63,1
Human rhinovirus type A,1
Human enterovirus,2
Coronaviral Spike Proteins,1
HostâPathogen Interface,1
SAR-CoV,3
Coronavirus Nonstructural Proteins,1
human respiratory pathogens,1
influenza B virus species,1
Embryonated Eggs,1
embryonated egg,3
pheasant coronavirus,3
embryonated chicken egg,2
human-like antibodies,1
hyperimmune human globulins,1
MERS-CoV BAC,1
Virus-Based Vaccines,1
virus-based MN,1
avian-,2
Coronavirus Spike Protein Proteolytic,1
coronavirus spike envelope glycoprotein,1
Coronavirus Replicase Coronavirus genome,1
tobacco etch virus,5
tobamovirus,1
hibiscus chlorotic ringspot virus,1
HCRSV,1
Yeast Two-Hybrid,2
IBV cDNA,3
murine dipeptidyl peptidase 4,1
mouse Dpp4,2
human DPP4 KI mice,1
MERS-CoV (HCoV-EMC/2012 strain,1
virus clone,2
MERS-CoV S1-Specific Antibodies,1
PM-19,1
65/230,1
Influenza Virus Biology Membrane,1
influenza A virus hemagglutinin (,1
influenza virus A/H1N1/pdm09,1
A/H1N1/,1
A/H3N2/ subtypes,1
Coronaviruses inEmbryonated Eggs,1
Viral Enzymes,1
herpesvirus DNA,2
avian paramyxovirus Newcastle disease virus,1
Arenavirus Quasispecies,1
Junin (JUNV) viruses,1
LCMV isolates,1
arenavirus populations,1
His(6)-MBP Tag,1
E. coli maltose-binding,1
adenovirus (Ad)host,1
SARS-CoV Infectious cDNA Constructs,1
Viruses T cell,1
Porcine Brush Border Membranes Coronaviruses,1
porcine small intestine,2
porcine brush border membranes,1
human columnar airway epithelium,2
rotaviral,14
Viruses Viral particles,1
Chicken Kidney Cell Cultures,1
Chicken kidney (CK) cell cultures,1
Muridae,4
Sigmodontinae,1
mouse embryonic stem cells,3
clostridial C1,1
Viral Glycoproteins DC-SIGN,1
Renilla Luciferase,1
Murine Hepatitis Virus Strain 1,2
A/H1N1/ pdm09,1
A/H3N2/ subtype,1
JHM Strain,1
CoV nucleocapsid protein (N),1
CoV RTCs,1
MERS-CoV Pseudotyped,1
MERS-CoV pseudotyped,1
human DCM,1
Mustela Vison,1
Avian Infectious Bronchitis Virus Enters Cells,1
Murine Neuronal Cells,1
Murine Hepatitis Virus NSP1,1
Mouse Hepatitis Virus (MHV-3)-Induced Fulminant Hepatitis,1
SARS-CoV Receptor,1
coronavirus virions,7
non-structural virus,1
Coronavirus 5â,1
reassortant avian influenza strain(s,1
MERS-CoV Spike Glycoprotein,2
SARS-CoV Accessory Proteins 7a,1
HCoV-229E Infects,1
GD03,6
Feline APN,1
SARS-CoV E Protein,2
Mouse Coronavirus,3
Feline Coronavirus Strains,1
people â¥65,1
Human Airway Epithelia,3
Coronavirus Subgenomic,2
RAT Coronavirus,1
RAT Alveolar Epithelial Cells,1
Avian Cells,1
chicken IFN,1
Human Angiotensin - Converting Enzyme 2,1
human dipeptidyl peptidase IV,1
mouse DPP4,6
repeats (CRISPR)/Cas9,1
Mouse Hepatitis Virus Host Range,1
MHV-A59 Orf1a Replicase Protein NSP7-NSP10,1
Murine Coronavirus MHV-JHMv,1
SARS-CoV S-Protein,1
Murine Coronavirus JHM Strain in Hepatitis,1
SARS-CoV Papain-Like Protease,1
Coronavirus E Proteins Ion,1
Coronavirus Nucleoprotein,2
Coronavirus Vaccine,5
Ebola virus disease (chloride-based solutions,1
Human Airway Airway Epithelial Cultures,1
SARS-CoV ORF3A,1
East respiratory syndromeâcoronavirus,2
Corona virus disease 2019,2
anti-dengue virus,2
Coronavirus â Aktuelle Empfehlungen fÃ¼r,1
KBV nun viele neue Regeln vorgestellt,1
Coronavirus Disease 2019 Patients,1
Coronavirus 2,10
coronavirus 2 (SARS-CoV-2)-infected,1
MHV-A59 Replicase,1
Murine Coronavirus Genome RNA virus,1
GKO]) C57BL/6 mice,1
perforin-deficient,3
Escherichia coli-expressed,5
C. T. Keng,1
S. Shen,1
K. M. Lip,1
T. H. Tan,1
C. F. Chou,1
S. Wang,2
S. G.,6
Y. J. Tan,1
canine respiratory,3
Virus-Infected Alveolar Epithelial Cells,1
RCoV,9
macrophage-depleted mice,5
Canine Influenza Virus H3N8 Vaccine,1
Canine Influenza Virus,2
CIV subtype H3N8,1
non-HSV,1
Bunyaviral Families,1
HRTV Gc,3
hantavirus Gc,2
insect-borne virus,1
arteri-,9
Hepatotropism,1
Murine Coronavirus JHM.WU Mouse hepatitis virus,1
MHV) isolates JHM.WU,1
JHM.SD nsp1,1
MHV liver,1
Avian Respiratory Viruses,1
Betacoronavirus Spike Glycoproteins,1
CoV FP,2
MERS-CoV pFP,1
porcine OAS2,2
Influenza Virus Vaccine Candidates,1
H9N2 influenza vaccine,1
AGMs,14
avian influenza (AI) virus,1
pLAIV,1
Theiler's Virions,1
BeAn virus,2
M1-D macrophages,2
TMEV-infected BHK-21 cells,2
Human Airway Epithelia Variola virus,1
vaccinia virus growth factor,2
6-HB,3
HIV-1 IIIB,1
N-terminal MT,1
coronavirus (SARS-associated coronavirus,1
Herpes Simplex Virus 1 Serine/Threonine Kinase US3 Hyperphosphorylates IRF3,1
alphaherpesviruses,3
US3 KD,1
wild-type HSV-1,1
TBSV replicon,3
Rhesus Î¸-defensin 1,1
Vaccinia Virus Ankara-Based,1
rMVA,2
Syncytial Viruses,1
human airway cells,4
bovine tuberculosis-infected white-tailed deer,1
Nile Virus A,1
T. pinophilus Li-93,1
Escherichia coli EC869,1
EC869 Î²-hairpin,1
YPIII Î²-hairpin,1
EC869 toxin,1
b12 paratope,1
immunogens,1
H5N1 Influenza Virus Growth,1
wild-type VN1203,1
human alveolar A549 cells,1
H1N1 viruses,7
A/Vietnam/1203/2004 H5N1 virus,1
H5N1 mouse,2
ORF1 Polyprotein,1
pORF1,8
HEV pORF1,3
nidoviruses (arteriviruses,4
Coronaviruses nsp1,1
HKU9-1,2
HKU9-1 nsp1,1
human brain samples,1
cocirculated,1
subgenogroup,1
hMPVs,5
Crosse Virus-Infected Mice Beta interferon (IFN-Î²,1
luciferase-specific,1
Crosse virus (LACV)-infected mouse brains,1
Human Enterovirus 93,1
coxsackie-,2
polioviruses,1
EV-93,2
EV-93 3C(pro,2
rhino-,4
poliovirus 3C,1
EV species,1
DHHC,3
Guinea Pig,4
human H5N1 virus,3
human alpha interferon (Î±-IFN),1
Drosophila TIA-1,1
CrPV viral 3C protease,1
Ebola virus glycoprotein GP2,1
EboV,5
six-helix bundles,3
human cervix cells,1
low-passage-number human cervix cells,1
GP3,10
GP3 (,1
H7N7 viruses,1
coronavirus transmissible gastroenteritis virus,10
CoV HKU1,5
11892,1
HKU1 strains,2
Human Coronavirus-Induced Neuronal,1
HCoV-OC43 virus,1
Rhesus Macaques Antibody,1
human polyclonal antibodies directed against Ebola virus glycoprotein,1
Ebola virus Makona,1
Enterovirus 71 Viral,1
Human scavenger receptor class B 2,1
murine SCARB2,1
EV71 virions,1
grapevine root,1
coronavirus X,1
HCoV-229E X,1
HCoV-229E replicase polyprotein,1
coronavirus replicase polyproteins,2
human medulloblastoma cells,1
Neudoerfl,1
R18-labeled virions,1
coronavirus IBV,10
Chikungunya Virus (CHIKV,1
Vaccine Chikungunya virus,1
CHIKV vaccine,1
Coronavirus Encephalomyelitis Myd88,1
Ringspot Virus (,1
human seminal fluid,1
semen-derived enhancer,1
HIV virus,8
man Lassa virus,1
antigen-specific CD4,3
human antigen-specific T cells,1
Salmonella minnesota-derived monophosphoryl lipid A,1
Madagascar fruit bats 1,1
Marburg filoviruses,1
Malagasy fruit bats,1
Madagascar fruit bat species.,1
E. dupreanum,1
human mammary,4
mouse cancer,3
immunodeficiency mice,1
human breast cancer tissue,1
NGVEV,2
SARS-CoV nucleocapsid protein antibody,1
Porcine Hemagglutinating Encephalomyelitis Virus-Induced Neurodegenerative Disorders Porcine hemagglutinating encephalomyelitis virus,1
human angiotensin-converting enzyme 2,7
Tg lineages,1
lethality-resistant AC22 mice,1
AC70 mice,2
C. elegans mutant loci,1
female genital tract,1
Equine arteritis virus,16
Swine Bordetella bronchiseptica,3
swine isolates,1
anti-Bordetella,2
Hantavirus NSs,1
long-range 5â²-3â²,1
Escherichia coli Heat-Labile Toxin,2
bovine RF,2
Escherichia coli heat-labile toxin,2
Feline junctional adhesion molecule 1,1
FCV capsid,1
Bordetella bronchiseptica Filamentous Hemagglutinin,1
swine respiratory tract,2
bronchiseptica swine,2
Semliki Forest,5
Semliki Forest virus (SFV)-infected cells,2
CCR5-tropic strains,1
CCR5-tropic virus,3
CCR5-tropic viruses,1
CXCR4-tropic virus,1
"C-terminal 2â,5â-phosphodiesterase",1
Sendai Viruses,1
Syncytial,2
Syncytial Virus Cell,1
Sendai virus F protein,2
Sendai viruses,3
rSeV,1
rotavirus strain-specific,1
reovirus Î¼2,1
reovirus Ï3,1
reovirus Î»2,2
alloreactive T lymphocytes,1
Human Papillomavirus Type 16 E6/E7-Specific Cytotoxic T Lymphocytes,1
E6/E7,1
Bunyavirus,3
CCoV type I,9
CCoV type II,8
Coronavirus Spike Antibodies Trigger,1
Human Immune Cells,1
human-adapted SARS-like coronavirus,1
human B cell lines,4
SARS-CoV Spike-pseudotyped lentiviral,1
Canine Parvovirus Antigen,1
Canine Parvovirus-Specific Antibodies Canine parvovirus,1
8-week-old,2
"Eberwine method""(3",1
Canine Coronavirus (UWSMN-1,1
OROV,15
LysM Cre(+,1
WT hematopoietic cells,2
human immunodeficiency virus/acquired immune deficiency syndrome,1
calicivirus minor capsid protein,1
CTL epitope-specific,2
CTL epitope GL-9,1
HLA-A*0201-positive patients,1
mRNA-sense,1
Feline Tetherin,1
Feline Immunodeficiency Virus Envelope Glycoprotein Tetherin,1
feline tetherin,6
feline tetherins,1
envelope-encoding,1
FIV envelope glycoprotein,3
feline tetherin-positive cells,1
human BST2,1
HIV-2 ROD10,1
simian immunodeficiency virus SIVmac239,1
songbird,1
M. gallisepticum,1
Influenza Viruses Influenza A viruses,1
murine hepatitis,5
Saguinus species,1
GB virus B,1
GBV-B,5
tamarin IFN-Î±,1
GBV-B replicon,1
tamarins,8
Human Norovirus Norovirus,1
Human NoV,1
GII-4 norovirus,1
DENV precursor membrane/E,1
flaviviral VLPs,1
Murine Coronavirus Spike Protein,5
S. Matsuyama,2
MHV JHM virus,1
srr7 S,1
anti-MHVR MAb CC1,1
coronavirus S,8
Murine Coronavirus Nonstructural Protein 3 Coronaviruses,1
MHV nsp3,5
HMBPP-Specific VÎ³2VÎ´2 T Cells,1
monocytogenes ÎactA prfA,1
human anti-L. monocytogenes immune,1
Ag-specific VÎ³2VÎ´2 T cells,1
human Î³Î´ T cell,1
human VÎ³2VÎ´2 T cells,1
Suspects' Review Series,1
HuNoV genogroup GII.3,1
Norwalk virus stool,1
Hepatitis virus,1
rat genome,1
human SARS-CoV strains,1
Picorna-like viruses,1
EoV,3
EoV 2C,4
H5N1 HPAI,1
Viruses Respiratory viruses,2
coronavirus (HCoV),2
HCoV-HKU1 (,1
SARS-CoV S2,8
MERS-CoV ORF4a,1
PIV 2,1
Ovine Interferon Tau,1
Mice Ovine interferon tau,1
B6.A2G-Mx1 mouse,1
Theiler's murine encephalomyelitis viruses,1
low-neurovirulence,1
Low-neurovirulence TMEV,1
high-neurovirulence strains,1
low-neurovirulence DA virus,1
VP2 puff,1
VP3-VP1,1
function-revertant virus,1
LASV antibodies,1
LASV antigens,2
B/Hong Kong/335/2001 virus,1
human immunodeficiency virus type 1 Gag,2
Gag CD8(+,1
AAV2/8,1
AdC7,2
Gag-specific T cells,1
Theiler's Murine Encephalomyelitis Virus-Induced,1
M1-D Macrophages Theiler's murine encephalomyelitis virus,1
low-neurovirulence TMEV BeAn virus,1
BeAn virus-infected M1-D macrophages,1
M1-D cells,1
Fv-4,4
Ecotropic Murine Leukemia Virus Mice,1
ecotropic murine leukemia viruses,1
MuLVs,2
ecotropic MuLV Env,1
ecotropic MuLVs,1
Fv-4 env-encoded,4
TM subunits,1
MuLV Env,2
Moloney MuLV Env,2
MuLV TM,1
Fv-4 Env,1
ecotropic viruses,1
Helicobacter pullorum,1
rats Helicobacter pullorum,1
H. pullorum-infected mice,1
H. pullorum,6
H. pullorum-negative BN rats,1
H. pullorum-positive,2
H. pullorum-specific,1
human colorectal tumors,1
rhesus macaque rhadinovirus,2
vIRF-ko RRV,3
rhesus fibroblasts,1
mouse NPCs,2
Coronavirus Infectious Bronchitis Virus Nucleoprotein,2
coronavirus nucleoprotein (N protein,1
coronavirus nucleoprotein (N),1
avian infectious bronchitis virus N protein,1
mouse gastrula,1
mouse conceptus,1
"coronavirus spike proteins,",1
Influenza Virus Enigma,1
adenovirus CAP,1
Avian Influenza Virus (H5N1):,1
avian influenza virus subtype H5N1,1
low-pathogenicity virus,1
SARS-CoV N substitutions,1
feline packed red,1
feline packed,1
canine pRBCs,1
Canine pRBCs,1
wild-type T cells,2
Murine Coronavirus MP1,1
picornavirus 3C-like proteinase (3CLpro),1
A. Kanjanahaluethai,1
murine coronavirus PLP2,2
10BiT mice,1
gnotobiotic pigs Toll-like receptors,1
Human mesenchymal stromal cells,1
influenza A H5N1-associated acute lung,1
avian influenza A/H5N1 virus,2
A/Hong Kong/483/97,1
A/Hong Kong/54/98,1
falcons,2
porcine coronavirus HKU15 (PorCoV HKU15,1
sparrow coronavirus HKU17,2
avian-to-swine,2
white-eye coronavirus HKU16,2
robin coronavirus,2
MunCoV HKU13,1
bulbul coronavirus HKU11 (BuCoV HKU11,1
Coronavirus HKU9,1
Ro-BatCoV HKU9,2
SARSr-Rh-BatCoV,8
Pi-BatCoV HKU5) coronaviruses,1
Ro-BatCoV HKU9 N-protein-based,1
Leschenault,5
Hepatitis E Virus-Related Viruses,1
human HEV,4
human blood donations,1
Mouse Hepatitis Virus Type 2,1
M. pneumoniae specimens,1
Hepatitis C Virus E2,1
MF59C.1,1
HCVcc 1a(H77)/2a chimera,1
HCVpp H77,1
Y. enterocolitica,2
Yersinia isolates,1
Stomatitis Viruses,1
HIV-1/SIV,2
VSIV G,1
VSIV,1
VSIV NV,1
replication-competent rVSIV,1
DI virus,4
DI viruses,3
DI influenza A virus,1
XMRV/MLV,2
Xenotropic murine leukemia virus (MLV)-related virus,1
MLVs,4
Ganoderma lucidum,1
G. lucidum,1
alphavirus â1 PRF,1
alphavirus TF,1
arthropod-borne positive-strand RNA virus,1
lamellar-phase lipids,1
herpes viral,1
PRRSV-infected cells,10
PRRSV nonstructural protein 11,1
Shiga Toxin-Producing Escherichia coli O104:H4,1
enteroaggregative E. coli,3
Shiga toxin,6
O104:H4 strains,1
Avian Influenza H5N1 Viruses,2
"avian alpha-2,3-",1
"human alpha-2,6-linked sialic acid",1
high-pathogenicity,2
Marburg Virus GP,1
iVLPs,1
Marburg virus GP,1
Coronavirus Infectious Bronchitis Virus Defective-RNA,1
athymic mice,2
adenovirus proteinase,2
Epstein-Barr Virus Latent Membrane Protein 1,1
Influenza A Virus M2 Protein,1
human influenza A virus isolates,1
A/Udorn/72,2
murine trachea epithelial cell cultures,1
A/WSN/33 M2C50S virus,1
Escherichia coli EngA,2
Human Placenta,2
human blastocyst-stage embryos,1
human trophectoderm progenitor cells,2
human trophectoderm progenitors,1
human placental progenitor cells,1
avian RNA viruses,3
HIV-1-infected cells,3
HIV-1-specific ADCC,1
coreceptor gp120-binding sites,2
human NK cell-mediated,1
Human Plasmacytoid Dendritic Cells,1
MERS-CoV N RNA,1
Human pDCs,1
TYMV virus,1
SD (SD 2.8 Âµg/m(3,1
porcine sialoadhesin,2
Virus Nonstructural Protease,1
Semliki Forest virus nonstructural protein 2,1
C-terminal half-sites,1
MHV strain-specific,1
MHV3-infected mice,2
CoVs OC43,1
Adenovirus Type 5,1
Adenovirus Serotype Vector,1
adenovector,1
Ad35,2
adenovector type,1
Brucella abortus Cu,1
SOD-specific secretory IgA,1
nonimmune human,1
human nAbs,3
MERS-CoV Spike protein,3
MERS-CoV Spike,1
Encephalitis Virus Subviral Particles,1
JEV envelope glycoprotein,1
weanling mouse brains,1
JE vaccines,1
Equine Encephalitis Virus nsP1,1
equine encephalitis virus (VEEV) nsP1,1
alphavirus nsP1,1
R365,1
A. MÃ¼llbacher,1
mouse âtwitcherâ,1
human globoid cell,1
twitcher brain,2
twitcher OLs,1
twitcher brains,3
twitcher,1
twitcher mouse,1
MNV strain CW3,1
A/South Carolina/1/1918(H1N1,1
alphavirus polyprotein,1
nsP2 noncytopathic,1
PABD,2
Borna Disease Virus,4
Orf Virus,1
Orf virus,3
Borna disease virus-specific,1
Borna,2
HIV-1 cell,1
rat AECs,1
rhesus macaque Î¸-defensins,1
retrocyclin (RC)-101,1
Mouse macrophages,1
mouse-adapted A/PR/8/34 influenza A virus,1
Human Cytomegalovirus Exploits Interferon-Induced Transmembrane Proteins,1
human embryonic lung fibroblasts,3
EBOV specimens,1
EBOV PTs,1
SARS-CoV spike protein domain 2 (,1
Escherichia coli phosphofructokinase-2,1
Semen,4
Chicken galectin-1B,1
lentogenic Newcastle disease virus,1
chicken galectin (CG)-1B,1
velogenic NDV,1
NDV hemagglutininâneuraminidase (HN) glycoprotein,1
coronavirus lung,2
NDV HN,1
nationâs blood,1
Human Rhinovirus C Species,1
HRV-C strains,2
murine Cytomegalovirus,2
mCMV,2
mCMV Smith strain,1
Balb/cJ mice,2
ASLV-A,2
SU-specific antiserum,1
HR2 peptide-selected,1
CFTRâ/â mice,1
coronavirus replicase proteins,2
CRF01_AE recombinants,1
T20-resistant viruses,1
Simian vimentin,1
psoralen-inactivated virions,1
human antibody-variable,1
feline retroviral restriction factor,1
human tetherin,1
female mice,3
anxiety-like,2
anxiety-,1
Human Monoclonal Antibody Fab Fragment,1
JEV methyltransferase,1
nonflaviviruses,1
plasmodial PI4KIIIÎ²,1
human periodontal ligament cells,2
Human PDLCs,1
human PDLCs,1
HIFâ1Î±. CoCl,1
Human Sinusoidal Endothelium,1
human liver tissue,1
HCV E2 glycoproteins,1
Straw-Colored Fruit,1
KRV],1
E. helvum cell cultures,1
interferon-competent human,1
KRV,2
C3-deficient,1
CR2-deficient mice,1
human coronavirus (HCoV)-229E genome,1
influenza virus Human,1
influenza virus (96,1
Murine IFITM1,1
Anti-Influenza A Virus,2
mouse hepatitis virus ns2,1
Cytomegalovirus DNA,1
Viral Retinitis A loop-mediated,1
CMV DNA,11
Aspergillus flavus,3
rhinovirus acute respiratory illnesses (ARI),1
human calreticulin,2
Sheep,4
hemagglutinins 1,1
rAAV1,9
rAAV2,4
human-origin influenza A virus,1
avian-like viruses,1
avian virus-like virus,1
Human influenza A,1
Coronavirus ADP-Ribose-1â³-Monophosphatases,1
coronavirus ADRP,1
vaccinia virus late protein,1
Avian influenza A H5N1,2
porcine IFN-Î±,5
virus-specific IFN-Î³-secreting cells,1
Coronavirus Spike Membrane,1
pretransmembrane,1
Monocytes Human coronaviruses,1
Murine CEACAM1,2
C57BL/6 mouse,3
cB61ba,1
SJL,15
cB61ba mice,5
MHV-A59 virus,3
Capripoxviruses Sheep pox (SP),1
capripoxviruses (CaPVs,1
CaPVs,3
capripox,1
Hepatitis C Virus-Induced,1
JFH-1 virus,1
Lymphocytic Choriomeningitis Virus-Induced Chorioretinitis,1
rodent-borne lymphocytic choriomeningitis virus,1
viscerotropic strains WE,1
Docile,1
LCMV Arm,1
T-cell-deficient mouse,1
LCMV-specific T-cell,1
lethal bacterial lung,1
regulator)âknockout ferrets,1
CFTR-knockout ferrets,1
SARS-CoV nonstructural protein 1,1
virus-dependent,3
Kolente virus,1
rhabdovirus species,1
Guinea Kolente virus,1
Barur,1
Virus Viral Ovarian Tumor Domain,1
Ingelvac PRRSÂ®,1
SDSU73,2
JXwn06 strains,1
Salmon Anemia Virus Receptor,1
Salmon Endothelial Cells,1
Virus Infectious salmon,1
endotheliotropism,1
A. thaliana,2
coronavirus nsp14ânsp10,1
Feline Coronavirus Genome Feline infectious peritonitis virus,1
Murine Coronavirus Mouse Hepatitis Virus,1
MHV small envelope E,1
MHV E,6
tomato mosaic virus RNA,1
SHR strain,1
SHR lungs,1
WKY lungs,1
cougar (,1
Duck Tembusu Virus Strain Du/CH/LSD/110128,1
Chicken Embryos Duck Tembusu virus,1
Human enterovirus 71 (HEV71),1
HEV71 vaccine,1
Coxsackievirus A16 3C,1
EV71/CVA16,1
human anti-dsDNA antibodies,1
murine lupus nephritis.,1
brome mosaic virus (BMV),8
C. C.,3
Cowpea Chlorotic Mottle Virus,1
CCMV,3
DBA/2 apoEâ/â mice,1
AKR apoEâ/â mice,1
human coronavirus HKU1 nonstructural protein 9 Human coronavirus HKU1,1
coronavirus group II,1
Adenovirus Bat adenoviruses,1
human AdV type 2,1
HIV Integrase,1
human betaherpesvirus 5,1
HHV-5,2
FeHV-1,5
HHV-1 ocular,1
FeHV-1 terminase,1
HIV integrase,3
PRRSV VR2385-infected MARC-145 cells,1
PRRSV VR2385,1
porcine pulmonary alveolar macrophages,3
Ingelvac PRRS,2
Bovine Coronavirus Spike Protein,1
mouse hepatitis coronavirus,3
MHV NTD,7
human galectin,2
BCoV NTD,4
human galectins,4
MHV NTDs,1
receptor-binding loops,1
coronavirus RNA Coronaviruses,1
Mastadenoviruses,1
Rafinesque's big-eared bat,1
Canine mastadenovirus A (CAdV A,2
CAdV A,2
influenza A virus subtypes H1,1
syncytial virus types A,1
coronaviruses OC43,3
Dengue Virus Influenza viruses,1
Coronavirus Infectious Bronchitis Virus 1a Polyprotein,2
Citrus Tristeza Virus Controls Asymmetrical,1
Rinderpest Virus Epitope,1
Virus Nonstructural Protein-1Î±,1
PRRSV nonstructural protein-1Î±,1
virus cores,1
Ebola pseudo-typed virus,1
human Vacuolar-ATPase,1
nsp1 Autoprotease,1
IL-10-producing CD8(+) T cells,2
Avian Gammacoronaviruses,1
enterotropic avian gammacoronaviruses,1
guineafowl coronavirus,1
quail coronavirus (QCoV),1
guineafowl CoVs,1
TCoV S1,1
enterotropism,8
avian coronaviruses like IBV,1
bats Influenza A virus,1
panzootic viruses,1
canine coronavirus type I (CCoV-I,1
coronavirus group 1a,1
single-donor plasma,2
Dengue virus 2,1
human ciliated airway epithelium,3
guinea pig-adapted EBOV,2
Coronavirus S Protein,2
CoV S protein-pseudotyped murine leukemia virus,1
pseudotyped MLV,1
S-pseudotyped MLV,1
porcine kidney cell line,5
alphavirus-based,3
Bovine Beta-Lactoglobulin,1
Mice Bovine Î²-lactoglobulin,1
murine T-cell,1
human immunoglobulin E,1
human pulmonary ECs,1
CEMs,3
porcine OTLLIN,1
swine OTULIN,2
PRRSV Nsp11,4
porcine OTULIN,1
vaccinia virus-induced,1
vaccinia virus-induced host protein,1
Children Human metapneumovirus,1
coronavirus-like virus,1
bat-SARS-CoV,11
civet SARS-CoV,2
civet SARS-CoV. Antibody,1
Human Cell,1
Human Respiratory Coronavirus EMC,1
SARS-CoV S proteins,3
JMD mutant S Î19,1
Parvovirus Capsids,1
feline parvovirus capsids,1
parvovirus capsids,4
black-backed jackal,1
canine TfRs,2
host-specific TfRs,1
human TARG1/C6orf130,1
US PRRSV,1
US PRRS,2
EU PRRS,2
influenza B virus BM2,2
human dsDNA,1
RSV-specific T cells,1
RSV 3,1
Human Coronavirus HKU1 Infects,1
Human Ciliated Airway Epithelial Cell Cultures,1
human lung pathogens,1
human ciliated airway epithelial cell cultures,1
HAE,2
human leukocyte antigen C,1
human JC polyomavirus (JCPyV),1
polyomavirus simian virus 40,2
human JC polyomavirus (JCPyV,1
Coronavirus Mouse Hepatitis Virus,5
Mice A reverse,1
coronavirus mouse hepatitis virus strain A59,8
Endo H,1
Y. Cai,2
MHV progeny,2
Trichuris trichiura,3
Enterobius vermicularis,1
Trichuris suis ova,1
PRRSV nsp1Î²,7
herpes simplex viruses 1,2
Gill-associated virus,1
Escherichia coli maltose-binding protein (,1
potyvirus 3CL(pro)s,1
coronavirus 3CL(pro)s,1
Mason-Pfizer Monkey Virus,1
Mason-Pfizer monkey virus,5
HeV pseudotyped,1
henipavirus G,1
C3-deficient mice,3
human TILs,1
Murine Dendritic Cells,1
Stomatitis Virus Vectors,1
M51R,3
PIVs] [,1
coronavirus [4%,1
HBoV [4%],1
Coronavirus Infectious Bronchitis Virus,9
IBV Q1,1
One-day-old broiler chicks,1
murine Ceacam16,1
Homotypic cell,1
swine coronaviruses,5
Aceria tosichella,1
WSMV,4
Primates Paramyxoviruses,1
Beaudette C,3
NDV-BC,2
NDV-LS,1
Virus Avian infectious bronchitis virus,1
picornavirus encephalomyocarditis virus,1
coronavirus-mediated TAS-controlled,1
avian chick kidney,1
neurotropic coronavirus virus,1
human liver cancer cells,2
Coptidis rhizoma aqueous,2
Huanglian,1
human HCC MHCC97-L cells,1
herpesvirus isolated,1
simplexviruses,2
sweats,3
S. viridans,1
U.S. ALF,1
RealStar Chikungunya Virus Real-Time Reverse Transcription-PCR Kit A,1
HBV subviral,2
HBV L,1
PRRSV 3CL protease 3CL protease,1
Abelson (,1
Human Alveolar Type II Cells,2
human type II cells,1
bottlenose,3
BdCoV HKU22,1
human bronchial epithelial Calu-3 cells,3
Hides Its Double-Stranded,1
Hypr,2
Absettarov,1
TBEV C,1
Escherichia coli lineage,1
E. coli lineage,1
alphavirus Sindbis virus,3
Murine Coronavirus Cell,1
coronavirus murine hepatitis virus,4
Coronavirus nsp10/nsp16 Methyltransferase Can Be,1
E. Decroly et,2
Pathog 6:e1000863,1
Pathog 7:e1002059,1
Pathog 7:e1002294,1
nsp16 2â²-O-MTase,2
SARS-CoV replicon,4
coronavirus 2â²-O-MTase,2
MHV nsp10,1
Sindbis Virus,2
C57BL/6 (wild-type [WT]),1
BKO,1
BKO mice,1
GRKO mice,1
1a/1b,9
U122,5
dromedary 229E viruses,1
Dromedary viruses,1
human type I interferon,1
human virus HCoV-229E,1
SARS-CoV surface glycoprotein S,1
HIV-1 pseudotyped,1
SARS-S,10
parainfluenza virus 1â3,1
E.coli tRNA(Lys,1
Mouse Hepatitis Coronavirus-Infected Mice,1
neurotropic milk,1
bovine milk casein,1
panzootic lineage,2
ebolavirus 24,1
Sudan ebolavirus strain,1
Maleo (1979),1
murine CEACAM receptor glycoproteins,1
MHV-A59 strain,2
D. Zelus,4
F. T.,1
murine CEACAM,2
MHV-4 (,2
MHV-A59 virions,11
murine coronavirus S protein,3
SD plasma,2
adenovirus NA,2
RABV strain HEP-Flury,1
RABVs,1
human polymerases,1
CRFK feline kidney cells,1
primate Vero E6 cells,1
Alphavirus E2 Glycoprotein,1
River virus,1
Murine Coronavirus Genome,2
Human Immunodeficiency Virus Pradimicin A (PRM-A),1
HIV-1-infected CEM cell cultures,1
HIV gp120 envelope,1
bat tissues,1
fusion-inhibitor,1
YF virus,2
