CELLULAR_COMPONENT,frequency
Mitochondrial Antiviral,2
NDV V protein,1
auto-fluorescent,1
endoplasmic reticulum-localized glycoprotein,1
nuclear Myt1,1
brome mosaic virus,2
RNA2,1
non-A-E,1
silica matrix,1
extracellular coiled-coil,1
long terminal,2
plus-strand,3
yeast membranes,1
PV,6
TBSV plus-strand,1
30S,1
vesicle outer,1
diC(16:0)PC-containing vesicles,1
SM,2
mitochondrial superoxide,5
Substrate,1
NS5A-D2,3
intercellular membrane,3
SARS-S-driven,3
extracellular NIH 3T3 fibronectin-matrix,1
extranuclear,1
Transmembrane serine protease TMPRSS2,1
Autophagosomes,4
multiple-membrane vesicles,1
multiple-membrane,1
postassembly,1
membrane lipid,3
T2635,1
viral-cell membrane,1
endoplasmic reticulum-Golgi,10
multinucleated syncytium,1
extracellular AX1,1
GxxxG-like,2
endoplasmic reticulum (rER)/Golgi,1
leader-body,2
Precursor Membrane prM,1
prM-E,3
TM2,2
srr7,1
premembrane,3
Gap junctions,2
endoplasmic reticulum/endoplasmic reticulum Golgi,1
ER/ERGIC,1
astrocytic Cx43,1
nuclear mitochondrial,1
euchromatin,1
gene/genome,1
membranous structures,1
GP2a,1
mycobacterial antigens,2
E149K,1
Mycobacteriophage D29,1
mycobacteriophage D29,1
NS3,3
S77D,1
carboxyl-terminal,1
spherule-like structures,1
SR-rich,4
WHV,2
oxidative-stress,1
pump-ATPase,1
nucleocytoplasmic,2
DNA molecule(s,1
Apical Surface,3
Rab11-positive endosomes,1
S-mediated,1
virus membranes,3
extracellular microvesicles,1
Egg Infectious Dose,1
E. octocarinatus eRF1,1
garlic,5
glycoprotein-dependent membrane,1
BMV-infected N. benthamiana leaves,1
Calves,3
Nucleocapsid,3
lysosomal extracts,1
Lipofectamine,1
endoplasmic reticulum membranes,7
TÎ¨C,1
niger Spores,1
niger spore,2
scale-specific,1
E,7
cell culture-mass,1
spirochetes,2
OMPs,2
transmembrane OMPs,1
leptospiral OMPs,1
LIC10258,2
saprophyte,1
hnRNPs,4
embryoid-like bodies,1
methylotrophic yeast P.pastoris GS115,1
mitochondrial detergent-resistant membrane,1
mitochondrial lipid raft-like microdomains,1
mitochondrial microdomains,1
mitochondrial detergent-resistant microdomains,1
raft-like microdomains,1
endoplasmic reticulum lumen,1
Tegument ICP0,1
tegument ICP0,2
nonendosomal,1
single-particle cryo-electron,1
perinuclear globular,2
TuMV perinuclear globular,1
TMV contact,1
intron 27,1
bacteriophage P22,5
cell-envelope,1
short-range,1
Cellular Membrane,1
endolysosomal vesicles,1
intraelement LTR,1
neurofibrillary tangles,3
EEA1-positive,1
sgRNA7,1
cell surface proteoglycans,3
syndecans,1
vp22,1
VH4,1
ISVPs,4
detergent-insoluble microdomains,1
fusion-defective,2
membrane TLR4,1
neuropil threads,1
neuropil,2
cytoskeleton network,2
0.8-Âµm,1
extracellular Vpr,4
extracellular matrix-associated PC5,1
concentrates viruses,1
Microfilaments,1
microfilaments,11
Green-,1
red-only vesicles,1
TuMV-infected,1
endoplasmic reticulum-retained,1
focal white,1
late endosomal multivesicular bodies,1
DNA-containing,1
unenveloped,1
unenveloped nucleocapsids,2
Wallerian,6
secretory organelle,2
EAV-induced DMVs,2
ER-derived membranes,4
EDEMosomes,2
IFN-IR,2
21 FARP analytes,1
UCE DNA,1
cellular SUMO,1
DMV membranes,1
Interferon (IFN)-Î,1
ER-linked cellular,1
stress-granule,1
late trophozoites/schizonts,1
nonraftraft membrane,1
Yeast Dhh1p,1
intranuclear cage-like,1
filamentous structures,1
Coccidioides,2
Turnip yellow,3
Tyr-190,1
omegasomes,4
DFCP1-positive,1
bacterial microcompartments,1
vaults,1
5-nonyloxytryptamine,1
Mycobacterial Species,1
mycobacterial isolates,1
MCM,2
cytosolic ribosomesâare,1
nucleus/cytosol,1
trypanosome,3
glial glutamate,1
vacuolar,14
DC-,3
vesicular endoplasmic reticulum,1
L-FCN,1
Rab4-positive endosomal,1
Trp237,1
phagosomal,6
macrophage cytoplasm,1
double-membrane vacuoles,1
SchuS4,1
Vacuoles,1
envelope glycoproteins E1,2
E1 transmembrane,2
cellular endosomal Tollâlike receptors,1
surface TLR2,1
Plasmid DNA Vaccine,1
nonabundant membrane,1
extramembrane,1
interviral,1
filamentous viruslike,1
bacterial sialidases,1
N330Q,1
Sugarcane yellow,1
body surface area,1
V3-loop,1
SHIV-nef-infected macaques,1
HIV-nef-bearing endosomes,1
virus-endosome membrane,1
SL4,14
SL3,10
Neurospora Varkud Satellite,1
vesicle membrane,1
focal microgranuloma,1
coat,3
intralumenal,1
cilial,1
lumenal surface,2
Brome mosaic virus capsid,1
BMV capsid,1
globular architecture,1
SL-V,1
DNA Viruses Single-stranded,1
Diatom,1
ECS,4
Chaetoceros,1
nuclear HBcAg,1
nuclear DNA,5
Viroporin,1
GUVs,1
Amaranthaceae,1
cis-proline,1
LE/Lys,1
IBDV ribonucleoproteins,1
Golgi ministacks,1
basolateral plasma membrane,5
Golgi network Intracellular,1
Salmonella-containing vacuoles,1
SCVs,1
Salmonella in,1
CACC,1
clathrin-coated,1
anti-WNV envelope,1
nsp12-RdRp,3
chromosome 19q13,1
self-tolerance,6
nuclear PA-X,1
spherule structures,1
inclusions,3
sister chromatid,1
monocytes CD14(â,1
immunoadhesin,2
plasmalemmal monoamine,1
Nucleus Stefin B,1
late-endosome,1
Lipid membranes,1
K. M.,1
microglial âOnâ,1
NSP2 octamers,1
PY-17,1
intracellular Na(+,1
autophagic membranes,3
starvation-induced autophagosomes,1
mRNA8,1
membrane nanochannels,1
brainstem efferent,1
rostral nucleus ambiguus,1
nucleus tractus solitarius,1
afferent fibers,2
afferent fiber,1
remyelinating axons,3
6F tomatoes,1
endoplasmic reticulum (ER)-resident,1
87d apart,1
extracellular sites,1
F/G,1
pine wood,1
nucleocapsid,4
Cholera Vaccines,1
C-terminal disulfide,1
Viral nanoparticles,1
Basolateral,1
methylotrophic yeast Pichia pastoris,2
Intracellular Mycobacteria,1
intracellular M.,3
budded,8
pore,1
budded virions,6
N-Glycans,1
Ng5,3
infected-cell surface,1
vacuole-like cytoplasmic structures,1
punctate perinuclear,3
vacuole-like,1
Sc,4
PL2,2
guava tea,1
nectin-1,4
Vesicular Stomatitis Virus Vaccine,1
envelope surface glycoprotein,1
Epithelial microbiota,1
mycobacterial virulence,1
V2,1
endoplasmic reticulum-targeted,1
ER-like membranes,1
acidic intracellular,1
squid,1
clathrin-coated vesicles,3
cellular endosomes,3
negative-strand viruses,1
HSV-1 DNA,1
NFS,1
perinuclear endosomes,1
endosomal-lysosomal,2
lysosome 3â6,1
DNA nanotiles,1
DNA tile-array-based,1
focal infiltrates,1
autophagosome membranes,1
Centromere,2
centromere,5
corona-like,4
CNS-resident astrocytes,1
Chromosomal,2
usurps ZBTB25,1
Tachyzoite,1
tachyzoite,2
nonenteropathogenic,1
droplet nuclei,2
photoreceptor dysfunction/degeneration,1
chromosome X,2
chromosome X.,1
sperm curvilinear,1
mRNPs,2
Salmonella carriers,1
intracellular YFV/DENV2,1
Golgi luminal,2
minus-strand,1
cholesterol-containing membranes,1
NDV virion,2
Vesicular Stomatitis Virus (,1
E416K,1
NS-ORF,5
VRPs,3
nucleolar subcompartment,1
NS5,1
non-nucleolar,1
ITS1/5.8S ribosomal,1
membrane cargo,1
endosome-to-lysosome,1
surface-exposed salt,1
brome mosaic virus (,1
appressed double-membrane,1
cellular karmella,1
extra-cellular matrix,1
N60K,1
N60K mutant,1
speckle-like cytoplasmic,1
speckle-like cytoplasmic structures,1
FLAG-mCherry,1
endosomes/lysosomes,2
trypomastigote surface,1
fiber-forming,1
filamentous bacteriophages,2
brain-resident phagocytes,1
outer membrane vesicle,1
N330,1
SARS-S-driven membrane,1
extracellular Ca(2,1
RC membrane,1
membrane proteinâpathogen,1
Neoglycoproteins,1
neoglycoproteins,2
autophagic vacuole,1
Endolysosomal,1
gD-binding,1
minicircle DNA,1
nsp4,3
double-membraned vesicle,1
non-lytic cellular,1
LAMP1-containing,1
nuclear factorâÎºB,1
nucleolar extracts,1
M. avium,4
IS900,1
log-transformed network,1
8.5-â«,1
capsid surface DE,1
salmonella,12
endocytosed membrane,1
Nonhomologous,4
Acidic,1
subgenome-size,1
cellular extracts,1
vLC,1
HCV membrane,2
membrane-like,1
small nuclear,1
intranuclear capsids,1
membrane nsps,1
PMTV,2
remyelinating oligodendrocytes,1
trypomastigotes,3
intracellular amastigotes,2
p9/p87,1
spore coat,1
spore surface,1
barrel-like,1
5â²-methyl-isocytosine,1
M(pro)-C,3
molten globules,1
aggresome,8
socialâecological,1
Golgi matrix,2
endoplasmic reticulum-to-Golgi network,1
interluminal vesicles,1
M. tuberculosis-infected cells,1
Transmembrane Serine Protease TMPRSS2,1
Hybrid DNA,1
Vesicular Stomatitis Virus-Based Avian Influenza Vaccines,1
ESSV,2
low-pH-dependent,1
endocytosis-like,1
actin-independent,1
cap ribose 2â²-O,1
vesicle-mediated membrane,1
Chloroplast,1
apical magnesium,1
oligomannose-type glycans,1
NS2(H126R,1
Typhimurium pgtE Vaccine,1
Salmonella vaccines,1
Salmonella spiC,1
Complexes,1
cis-Golgi membranes,1
single-membrane structures,2
single-walled membrane,1
small-world network,1
Su7,1
Alere,1
muscle fiber,1
SAMs,2
cosediment,1
six-helix,1
satC,1
satC-specific,1
Endoplasmic Reticulum Cell membranes,1
irregular membrane,1
COOH-terminal,3
cell-free outside-out,1
pre-mitochondrial,1
Mitochondrial Aconitase,1
viroplasmic material,1
cholangiocyte membrane,2
Vacuole,1
YCVs,5
YCV,2
acidic lysosomes,2
GFP-LC3-positive YCVs,1
autophagic membrane,1
EBOV2014-GP-driven,2
nuclear NANOG,1
bacteriophage M13,1
snoRNPs,1
snoRNP,2
nsp1,1
DNA glycosylase,1
m66,1
K. Alekseev,1
cell culture-adapted,1
Bacterial Enzymes,1
112-residue-long C-terminal,1
mitochondrial glycogen synthase kinase-3Î²,1
P6,3
NP molecules,1
cellular material,1
macrophage vacuoles,1
Thermotoga maritima,1
E349-S350,2
plasmodesmata,2
ER-derived vesicles,1
nuclear targetingâand,1
conidia,1
satBaMV,10
virus-like-particles,1
Traffic COPs,1
coat complexes,1
TMD3,2
TMD5,1
genome 5â²,1
Ty-1,1
punctate LC3,1
endosomal acid,1
Post-ER Multisubunit,1
60S,1
szeP,1
nuclear Î²âcatenin,1
Viral envelope,1
sgRNA,1
Nucleus Viruses,1
punctate vesicles,2
endothelial lining,2
Tetraspanin-Enriched Membrane Microdomains Coronaviruses,1
tetraspanin-enriched microdomains,1
intercellular,1
DP178,1
SL4a,4
ENaC membrane,1
membrane CD163,1
luminal surface,2
EM-autoradiography,1
organelle-specific,1
secretory lysosomes,1
Legionella micdadei,3
double-membrane vesicle,2
bacteriophage Î» Red,1
21 DENV-4-spiked sera,1
Virus,1
medaron,1
phagophores,3
lysosome/vacuole,2
cap 2â²-O,1
cap 2â²-O-methyltransferase,1
Autophagosome,2
autophagosome-lysosome,2
Chlamydia vaccines,1
cucumber mosaic virus 3â²,1
SCGB1A1(+)KRT5(â,1
outer envelope,4
interferon (IFN)-Î³-production,1
excitatory glutamatergic,1
AVs,1
late AVs/autolysosomes,1
MPP(+)-induced autophagic,1
intracellular granules,1
Vesicular Stomatitis Virus-Based H5N1 Avian Influenza Vaccines,1
sat-RNA D,1
IBV nsp14,1
intraphagosomal,1
extracellular RC1,1
viral-DNA,1
self-DNA,1
kinetoplast DNA,1
DRTE,3
long PS-ONs,1
back-fusion,1
Small nucleolar,1
Bronchospheres,1
microvesicles,1
double-membraned liposomes,1
single-membraned,1
Mitochondrial Membrane,1
nsp6/7 junctions,1
CS-N,1
IBV PLpro,3
2.15-â«,1
epithelial HRV-16,1
foamy virus,2
nonessential 3a,1
bacteriophage T7 RNA polymerase,1
RdRP,1
endomembrane,10
virus-bearing vesicles,1
virus-bearing endosomes,1
Transmembrane domain-dependent,1
TMD-based,1
yeast secretory,3
Scorch Virus,1
Beet,2
BBSV,2
ER-derived membranous spherules,1
ER-originated vesicle,1
tubule-like structures,1
Plasmalemmal Monoamine Transporter Inhibitor,1
small autophagosomes,1
Stress granule,1
synapse Cell-to-cell,1
buffy coat 5â²-UTR,1
Buffy coat,3
Transmembrane Protease TMPRSS2,1
virus-plasma membrane,1
tube-like,1
intralumenal Golgi,1
NS1,1
endo-lysosomal,3
argyrophilic axons,1
intrabody,1
mitochondrial membranes,2
Extracellular virus,1
F-specific,4
extracellular matrix (ECM)-embedded/organoid,1
sugarcane yellow,1
N-terminal nuclear,1
hippocampal AÎ²,1
mitochondrion-related,1
vesicles/vacuoles,2
amoeba transformants,1
vesicular/vacuolar compartments,1
bacterial lipopolysaccharide,1
Subnuclear,1
SUD-C,2
medial actomyosin-based,1
Intracellular Membranes,2
curved membranes,1
virus single-stranded DNA,1
EDL933,4
DNA-,2
cell evenly,1
caveolin-1-positive,1
plasmalemmal cholesterol,1
UL6,3
Birnavirus,1
65-nt,1
UCUAAAC,6
M. genitalium,1
C53,1
transepithelial Na(+,1
enterovirus E,1
IBV particle,1
invaginated vesicle/spherule type,1
membrane vesicle,2
Capsids bud,1
nuclear envelope lumen,1
glycine-rich,1
Mycobacteria,1
DNA human viruses,1
PK4 jams,1
enveloped filamentous,1
Vesicular Stomatitis Virus-Infected Cells,1
DCP1a,1
SG-like structures,7
cap1,2
envelope glycoproteins E,1
lateral envelope,1
ciliary apparatus,1
cell lineagesâthe,1
Cysteine,1
intracellular compartment(s,1
nidovirus endoribonuclease,1
surface IgA(+,1
sIgA(high,1
woodchuck,1
grape-like clusters,1
nsp12,1
long bones,1
Viral envelope glycoproteins,1
metamaterial surface,1
Sulfolobus Turreted,1
Toxoplasma DNA,1
QIAamp DNA,1
neurotransmitter sodium symporter (NSS),1
host-cell molecules,2
antler extract,3
apical epithelial sodium,1
Fang,2
HDV,2
budded virus,4
S(H,3
FMDV-induced autophagosome,1
FMDV-induced autophagosomes,1
plasma membrane lipid,1
Lipid Membrane,2
mitochondrial transporters,1
Matrix,1
nucleus-associated,1
microtubular,1
antiphlebovirus,1
TSC-EYA,1
Zipcode,1
carrageenans,1
COPI-coated vesicles,1
ERAD-derived EDEM1,1
siRNA/NPs,2
mycobacterial peptide,1
CPY,1
extra membrane C-terminal tail,1
beta-sheet,2
H-IVIG,2
DPP4-binding surface,1
Cargo,1
cargo-selective vesicle,1
endothelial endoplasmic reticulum,1
1.8-â«,1
extracellular HBsAg,1
Entire,1
yeast vacuolar transporter chaperone 4,1
cell proteinâRNA,1
E202,1
ribonucleoproteins,1
Golgi vesicles,4
nsp3 Macrodomain,1
chromosome (BAC)-based,2
Mitochondrial Signaling,1
nucleus tractus solitarii,1
Tight junctions,1
primer-dependent,1
EnVs,1
HuG6s,1
sequence-matched,1
sarcoplasmic reticulum calcium ATPase 2a,1
Nucleolus Adeno-associated,1
epithelial vacuolation,1
chromosomal GC,1
BMV genome,2
DNA Prime-Adenovirus,1
Stallion,1
Sperm Surface,1
endosomal cathepsins B,1
wtS,1
microbial membranes,1
surface sialoglycoprotein,1
stress granule-containing,1
ss/ds,1
ss/dsDNA,1
CyHV2,1
colinear,3
chloroplast inner envelope membrane,2
flavivirus membranes,1
budding membranes,1
Intestinal Oxidized Lipid,1
Vacuoles Positive-strand,1
rER,1
single-membrane vesicle-like,1
double-membrane vesicle-like structures,1
electron-dense bodies,2
filamentous particle,1
central vacuole,2
endoplasmic reticulum-connected,1
double-membrane tubular structures,1
P74,3
Foldon,1
viral membranes,1
solvent-exposed C-terminal,1
DRG,2
endoplasmic reticulum calcium,1
amoeboid microglial cells,2
galectin-like NTD,1
XXXR/S,1
nuclear extracts,2
filamentous tail,1
spherular invaginations,2
mini-organelles,1
S-protein-mediated,1
Cell surface PDI,1
virus outer,1
pac,1
bunyaviral,1
Photocatalyst,1
brome,1
M. Wantroba,1
Pericellular,1
membrane serine,1
lipid-facing,1
21 PEDV,1
cytosolic multimolecular,1
IL-28B,1
embryoid bodies,3
EB,1
S950F,1
transmembrane envelope protein M,1
macrophage cytosol,1
mitochondrial 1,1
IMM,3
OMM,1
mitochondrial dynamin,1
SePV-1,2
quantum,4
SBPs,1
argosomes,1
cytonemes,1
VIR-576,1
VIRIP,1
Cystoviridae,2
neuro-invasiveness,1
polyglucosamine,1
sporozoites,1
Polysome,1
archeal,1
D. Younker,1
nsp10/11 (,1
nsp10/11,3
ribosome heelprint,1
Env-mediated,1
Env-mediated membrane,1
HOPS-dependent endosomal,2
protein-sorting,1
glycans LSECtin,1
N-glycan structures,1
K. pneumoniae-induced,1
K. pneumoniae-induced liver,1
NS7 Proteins,1
NS6/7,3
Fab Molecules,1
surface envelope glycoprotein D,1
surface-exposed terminal,1
self-processed,1
medial,3
midcell,1
fibrillarin,2
chromosomal copy,1
HA-driven membrane,1
filoviral L,1
interferon (IFN)-deficient,1
N-CTD,1
Endosomes Coronaviruses,1
virus-loaded endosomes,1
DNA prime/rTTV,1
DIssE,16
cavicles,1
VP26,1
Sialic Acid-Independent,1
extramembrane C-terminal tail,1
microvillous,1
interferon alfacon-1,2
cell-free extract,2
subplasma membrane,1
cell endosomes,2
Endoplasmic Reticulum-Resident,1
Endoplasmic reticulum (ER)-resident glucosidases I,1
V(H)Hs,1
hijacks membranes,1
Mitochondrial Membrane Spherules,1
crude mitochondrial,1
hyphal tip,1
hyphal,4
Budded Virions,1
Se Cho,2
Nicki,1
Li A75 Serum 25-hydroxyvitamin,1
Eugene,1
Tetsuharu,2
BÃ¶lke A117,1
Sojeong Kim,1
Mitochondrial Membrane Sunjoo,1
Silica Nanoparticles,1
Jung-Hyun Kim,1
Sooyoung,4
DustÃ¢â¬â¢s,1
Extracellular Vesicles Sae-in,1
Surinda Wongpun,1
Fumiya Yamaide,1
Bachert A394,1
Shizukawa A442,1
Kyu-Sup Cho,1
Hun-Jong Dhong,1
Seeds,1
A581 Cowâs Milk Oral Food,1
Kubota,1
Undetectable,1
Egg Specific,1
Liu A649,1
Aliveness,1
extra-corporeal membrane,4
Seg-2,2
corona virus,12
envelop,1
Pythium aphanidermatum,1
cell actin,1
CRISPR DNA-fragment,1
long-range chromatin,1
faecal microflora,1
PMV-1,1
ETEC bacteria,1
bacteriophage F2,1
brown alga Sargassum muticum,1
Vesicular membrane,1
golgi,1
Micrasterias americana,2
dictyosomes,1
membrane blebs,1
Golgi appatus,1
Eucheuma denticulatum,2
Myxococcus xanthus,1
pili,1
stilbenoids,1
L. radiata,4
pUC8 DNA,1
agrobacterial octopine,1
fresh-cut food,1
L. aestivum,1
root biomass,1
TM3,1
vertical envelope,1
cell tissues,1
EC2,2
Clay minerals,2
acid-protein,1
stress fibers,1
outer tubes,1
outer wall,1
enveloped virions,1
norepinephric,1
ernstige infecties,1
Rhizobium leguminosarum gmcA,1
root bacteroids,1
ns2a,1
lunettes,2
SDBP,1
feed matrix Ã,1
plasma-containing,1
fixed-time,1
mitochondrial cytochrome b,1
Salmonella siderophore receptor,1
blebbing,4
cellular vacuolar,2
vorige versie,1
endocytic/exocytic vesicles,1
Kornfeld,1
Kornfeld 1985,1
lumenal Golgi,1
Golgi nucleotide,1
DNA Enzymes,1
lymphocytes interstitial,1
neus,3
Endophytes,1
Chloroplast genome,1
Viral DNA,1
L. pneumophila,1
Face Mask,1
Terpenes Terpenes,1
mandarin,1
comets,1
Flaviviral Membrane,1
r-DNA,1
exon-exon,2
cristae,2
Wells,2
endosomal DNA,1
fiber capsid,1
microbiome fertilizers,1
transmembrane cargo,1
tumourâs,1
nuclear chaperones,1
Nuclear chaperones,1
Solanum,2
T7 DNA,1
NHPs,1
Fab,1
Transmembrane Proteins,1
non-envelope,1
non-outer membrane,1
multimolecular,2
virus-like particle vaccines,1
fecal coliforms,1
nonantibody macromolecular,1
opiates,1
zymogens,1
tree crops,1
Tumour-Associated Macrophages,1
apical loopâinternal,1
import-,1
plus-stranded,1
Nano-Antimicrobial Biomaterials,1
Electroporation-Mediated DNA,1
DCGs,3
DCG,1
vesicle coats,1
Promise,1
Oil,1
Mit,1
cell-free DNA,1
Gypsy retrotransposon,1
LTR retroelements,1
mitochondrion descends,1
mitochondrial Pandoraâs,1
spore-producing,1
nuclear organelle,1
NORs,1
super-hydrophobic membranes,1
X chromosome [12],1
endo-lysosomes,1
Declares,1
leaf surface,2
Licorice extract,1
extra-terrestrial,1
nano-antimicrobials,1
z.,1
M. intracellulare,1
EMPOWER-SUSTAIN e-Health,1
EMPOWER-SUSTAIN,3
DZ,2
Se midieron,1
Farms,2
Sarbecovirus,2
dandelion,1
dandelion clek-like,1
microsomal,1
toga,3
tegumental surface,1
tegumental membrane,1
microthrix spines,1
microthrix shafts,1
nuclear Overhauser,2
extracellular particle,1
cytomembrane,1
cisternal,1
cisternal membrane,1
granulofibrillar matrix,1
NH2,6
3' terminal stretch,1
nonvirion,1
synaptic serotonin,1
5-HT-ergic,2
DA-ergic,1
mesoaccumbens dopamine,1
VTA-A10,1
serotonergic,1
surface IgM,1
hepatocyte cytoplasmic,1
capillary pore membrane,1
Df-NC,3
membranal phosphatidylcholine,1
synaptic plasma membranes,1
synaptosomal plasma membrane,1
certain endosomes,1
acidic endosome,1
VT2,4
mycobacterial 65,1
Brucella Complement,1
immuno-flow-assay,1
membrane water-transport,1
vector-cell membranes,1
sperm genome,1
sperm chromatin,1
ribonucleocapsids,1
focal demyelinated,1
focal retinal,1
C145,1
Salmonella O-antigen polysaccharide Bacteriophage P22,1
Salmonella lipopolysaccharide,1
Salmonella typhimurium lipopolysaccharides,1
expectativas,1
long wheat,3
Mannan Oligosaccharide,1
IBV-derived,1
CPV-DNA,1
RNA-2,1
DI-T,1
TVLPs,1
late membrane,1
Erythrocytes,1
closterovirus genome,2
capsomere,1
smooth-surfaced cisternae,1
centrosphere,1
smooth-surfaced membranes,1
endoplasmic retieulum,1
acellular matrix graft,3
acellular matrix,1
periplasmic chaperones,3
mg/kg Mg,1
osteoblast surface,3
mucosal membranes,1
archaebacterial primases,1
eubacterial primase,1
EDL933 genome,1
difteria,1
moleculares,4
Hippocampal 5-HT,1
estresantes medioambientales,1
6â15,1
Cryptosporidium oocysts,2
Linum usitatissimum,1
Silica,1
autolysosome,1
DNA 3 way-Junction,1
MF-DNA,1
DNA 3 W J,3
DNA 3 W J.,1
DNA 3 W J/hAuSN heterolayer,1
DNA 3 W J/ hAuSN -modified electrode,1
DNA 3 W J/ hAuSN,1
amniotic membrane,1
NCp7,4
cell type-ubiquitous human,1
bimodular PCP-TE,1
Microsporidium,1
hippocampal CA3 neurons,1
hippocampal CA3,1
mbrC,1
long turn-a-round,1
penton nucleotide,1
human-derived blood,1
Giardia,6
forma estÃ¡ndar,1
soluble-,1
Host endomembrane,1
secretory endomembranes,1
Golgi bodies,1
isolated organelles,1
long 3â²,1
TSL-1âinduced,1
CDR-H2,1
mycobacterial culture,1
interclade,1
21 isolates,1
sialic acid-attachment,1
TA6TA7,1
cell blood,1
L. M. Jones,1
interstitial matrix,2
zona pellucida-pathogen,1
biodegradable-biocompatible microspheres,1
nigrostriatal,1
sub-viral components,1
Enterobacteriaceae cell surface,1
Streptococcus mutans,5
electropherotype,1
focal aggregates,1
matrix granules,1
microbial surface,2
rab8p,1
MNGC,1
oligonucleosomal,2
chloroplast DNA,1
surface soil,2
metal surface,1
N-terminal cytoplasmic tail,2
C-terminal extracellular,1
Membrane alanyl aminopeptidase,1
Endoplasmic Reticulum Membrane,1
rickettsial diseaseâmurine,1
Fungi,1
genome sites,2
cubic membranes,3
endoplasmic membranes,1
DNAse,1
episome,1
EBER2,1
Plasma Membrane Proteases â Serine Proteases Abstract Membrane-anchored serine,1
pleiomorphic membrane,1
biosynthetic-secretory,1
zymogen granules,1
cellular macromolecular,2
sperm antibody,1
CoV-induced vesicles,1
co-opts ERAD,1
dianthovirus genome,1
intraspecies,1
eye-specific,1
Immunoelectron,2
incisures,1
chromosome 9,1
sera/ascitic fluids,1
membrane envelope,1
Membrane Fusionâ,1
DNA Molecules,1
capsid architecture,1
NPs conjugated,1
wood quail,1
3 Toxoplasma-like,1
Isospora novocati,1
SocialâEcological,1
nucleus seed,1
volume-,1
DC-targeting elements,1
Mycoplasma,2
bronchoalveolar junctions,1
Ensure,1
long needle,1
club-like peplomers,1
saprophytes,1
Saprophytes,2
antiport,1
rounded eosinophilic,1
Microarrays/arrays/DNA,1
microarrays/arrays/DNA,1
Druglikeness,1
Sheep,1
substratum,2
mango ginger,1
undercoat,1
E. Vaala,1
Kitten,1
discus,1
aiguÃ«,4
Sospecha,1
K. Morita,1
WSE,1
cryptosporidia,1
faecal material,7
Enterocytes,2
mycobacterial cell wall,2
interphase material,1
Cellular Membranes,1
Secretory,1
intracellular vesicular compartments,1
aria,1
zygote,1
six-helix bundles,1
junctional zone,1
ghosts,1
Cell Culture-Derived,1
Sieves,1
HLS-Asia-Q,1
zona,5
forma estadÃ­sticamente,1
partes blandas,1
Reduqing granules,4
modificaciones,2
senos parasales,1
bronchial lumen,1
SARS-CoV-2,15
avortements n'augmenteraient,1
target-DNA,2
43-bp,1
Intra-cellular,1
microfilament cell,1
TiO2,2
bacterial-specific,1
TiO2-nanomaterials,1
microorganism/nanomaterial interface,1
SARS-COV-2,1
body fluids,7
Transmembrane Î±,1
chromosome 21,2
broncodilatadores,2
portadores,1
neumonÃ­as neumocÃ³cicas,1
forma minuciosa,1
supermicron,1
NA3,1
long transients,1
Inclusions,1
extracellular constituents,1
Lysosomal,1
lysosomal matrix,1
lysosomal membrane,2
lysosomal vacuolar,1
lysosomal vacuoles,1
Clay Minerals,1
Abies grandis Acanthodris,1
tunicates,3
buscan sistemÃ¡ticamente,1
Leptospira Interrogans,1
maduraciÃ³n,1
sugarcane sap,2
SPBs,2
successfully.1,1
Mycelial,1
caterpillar fungus,1
fungal mycelia,1
atrial septal,1
Hb surface,1
bradykin,1
Wastes Disposal/Treatment,1
nuclear antigen-1,1
sustainability-conscious,1
influenza-induced F-actin,1
endothelial cytoskeleton,1
nuclear factor-kappa B p50,1
Dioscorea batatas,2
bom,1
necessitaram,1
Salmonella while,1
HSR network,1
HOMO-LUMO energies,1
Elicitin,1
SPX,4
spore-like structures,1
Tartares,1
NP microbiome,4
Nuclear Paraspeckle,1
NS4a,1
Mycoplasma orale,1
Prophage,1
light-matter,1
extrachromosomal double-stranded,1
mycovirus,1
Malassezia,1
intracellular Ca2+,4
cell calcium,1
apical calcium,1
sarbecovirus,1
Ro,4
C-terminal Ub,1
Virus Browser portal,1
SPRR,1
Traffic,1
most-trafficked,1
nuclei acid,1
corona virus disease 2019,4
CTD1,1
chromatin remodelers,2
aminoacids,4
Swift,1
Ganglia,1
Psittaculidae,1
nuclear acid,1
extra-axonemal,1
flagellar,3
axoneme,2
paraflagellar rod,2
flagellum,1
21 cities/,1
NCT04291729,1
surface samples,2
K353,1
senescence-associated heterochromatin,2
Embecovirus,1
studded,2
eDNA,4
Site-specific,2
fiber material,1
circular cobalt,1
68-genome sarbecovirus,1
EMAs,1
COMET,1
INTEREST-trial,1
viral/bacterial,3
Infodemic,1
COVID-19 engulfs,1
Saquinavir,1
extracellular material,1
AbstractArtificial,1
AbstractCellular membranes,1
kinetochore,16
mitotic spindle,3
kinetochores,8
spindle,2
Kinetochore,1
outer kinetochore,3
NCBI nucleotide,2
microRNA-like,1
interphase nuclear,1
chromosome bi-orientation,1
yeast cytoplasmic,1
capsid maturation;however,1
multicellular rosette,2
endosome/lysosome,3
late endosome/lysosome membranes,1
early/late endosomes-lysosomes,1
endosome-lysosome membranes,1
Striatal Dopamine,1
dopaminergic terminals,1
glutamatergic terminals,1
EDNA,2
SecY,2
polysaccharide-rich ECM,1
DNA ligand(s,1
Golgi lumen,3
DNA topoisomerase II,1
